kind	name	count
reference_library	bacteria_high_confidence	9
reference_library	archaea_literature_supported	1
taxonomic_domain	Bacteria	9
taxonomic_domain	Archaea	1
family	intracellular_phaZ_no_lipase_box	1
family	extracellular_scl_pha_dep_type_I	1
family	extracellular_scl_pha_dep_type_II	1
family	phaZ7_like	1
family	phaZd_like	1
family	rhodospirillum_periplasmic_like	1
family	intracellular_mcl_pha_dep	1
family	extracellular_mcl_pha_dep	1
family	tigr02240_aromatic_pha_related	1
family	archaeal_patatin_like_pha_dep	1
family	auxiliary_mobilization_context	0
evidence	E1	4
evidence	E2	6
evidence	E3	0
evidence	Excluded	0
