family_category	control_id	control_role	hit_status	best_full_score	hmm_coverage	domain_count
archaeal_patatin_like_pha_dep	archaeal_patatin_like_pha_dep|boundary_observation|archaeal_patatin_like_pha_dep|AHB64615.1	boundary_observation	no_hit			0
archaeal_patatin_like_pha_dep	archaeal_patatin_like_pha_dep|boundary_observation|archaeal_patatin_like_pha_dep|AHZ23723.1	boundary_observation	no_hit			0
archaeal_patatin_like_pha_dep	archaeal_patatin_like_pha_dep|boundary_observation|archaeal_patatin_like_pha_dep|AJF25805.1	boundary_observation	no_hit			0
archaeal_patatin_like_pha_dep	archaeal_patatin_like_pha_dep|boundary_observation|archaeal_patatin_like_pha_dep|EFW93255.1	boundary_observation	no_hit			0
archaeal_patatin_like_pha_dep	archaeal_patatin_like_pha_dep|boundary_observation|archaeal_patatin_like_pha_dep|KOX95185.1	boundary_observation	no_hit			0
archaeal_patatin_like_pha_dep	archaeal_patatin_like_pha_dep|boundary_observation|archaeal_patatin_like_pha_dep|KZX50211.1	boundary_observation	no_hit			0
archaeal_patatin_like_pha_dep	archaeal_patatin_like_pha_dep|cross_family_challenge|extracellular_mcl_pha_dep|BBB62377.1	cross_family_challenge	no_hit			0
archaeal_patatin_like_pha_dep	archaeal_patatin_like_pha_dep|cross_family_challenge|extracellular_mcl_pha_dep|BBB68334.1	cross_family_challenge	no_hit			0
archaeal_patatin_like_pha_dep	archaeal_patatin_like_pha_dep|cross_family_challenge|extracellular_mcl_pha_dep|CAQ46066.1	cross_family_challenge	no_hit			0
archaeal_patatin_like_pha_dep	archaeal_patatin_like_pha_dep|cross_family_challenge|extracellular_mcl_pha_dep|Q51718	cross_family_challenge	no_hit			0
archaeal_patatin_like_pha_dep	archaeal_patatin_like_pha_dep|cross_family_challenge|extracellular_mcl_pha_dep|Q6UFW4	cross_family_challenge	no_hit			0
archaeal_patatin_like_pha_dep	archaeal_patatin_like_pha_dep|cross_family_challenge|extracellular_mcl_pha_dep|Q84C08	cross_family_challenge	no_hit			0
archaeal_patatin_like_pha_dep	archaeal_patatin_like_pha_dep|cross_family_challenge|extracellular_scl_pha_dep_type_I|A6EXA3	cross_family_challenge	no_hit			0
archaeal_patatin_like_pha_dep	archaeal_patatin_like_pha_dep|cross_family_challenge|extracellular_scl_pha_dep_type_I|BAA32541.1	cross_family_challenge	no_hit			0
archaeal_patatin_like_pha_dep	archaeal_patatin_like_pha_dep|cross_family_challenge|extracellular_scl_pha_dep_type_I|BAF35850.1	cross_family_challenge	no_hit			0
archaeal_patatin_like_pha_dep	archaeal_patatin_like_pha_dep|cross_family_challenge|extracellular_scl_pha_dep_type_I|O82950	cross_family_challenge	no_hit			0
archaeal_patatin_like_pha_dep	archaeal_patatin_like_pha_dep|cross_family_challenge|extracellular_scl_pha_dep_type_I|P12625	cross_family_challenge	no_hit			0
archaeal_patatin_like_pha_dep	archaeal_patatin_like_pha_dep|cross_family_challenge|extracellular_scl_pha_dep_type_I|ZP_01169502.1	cross_family_challenge	no_hit			0
archaeal_patatin_like_pha_dep	archaeal_patatin_like_pha_dep|cross_family_challenge|extracellular_scl_pha_dep_type_II|AAB40611.1	cross_family_challenge	no_hit			0
archaeal_patatin_like_pha_dep	archaeal_patatin_like_pha_dep|cross_family_challenge|extracellular_scl_pha_dep_type_II|BAA35137.1	cross_family_challenge	no_hit			0
archaeal_patatin_like_pha_dep	archaeal_patatin_like_pha_dep|cross_family_challenge|extracellular_scl_pha_dep_type_II|BAA92354.1	cross_family_challenge	no_hit			0
archaeal_patatin_like_pha_dep	archaeal_patatin_like_pha_dep|cross_family_challenge|extracellular_scl_pha_dep_type_II|O05527	cross_family_challenge	no_hit			0
archaeal_patatin_like_pha_dep	archaeal_patatin_like_pha_dep|cross_family_challenge|extracellular_scl_pha_dep_type_II|Q5YEW3	cross_family_challenge	no_hit			0
archaeal_patatin_like_pha_dep	archaeal_patatin_like_pha_dep|cross_family_challenge|intracellular_mcl_pha_dep|B7UCC9	cross_family_challenge	no_hit			0
archaeal_patatin_like_pha_dep	archaeal_patatin_like_pha_dep|cross_family_challenge|intracellular_mcl_pha_dep|Q5Y152	cross_family_challenge	no_hit			0
archaeal_patatin_like_pha_dep	archaeal_patatin_like_pha_dep|cross_family_challenge|intracellular_mcl_pha_dep|Q88D24	cross_family_challenge	no_hit			0
archaeal_patatin_like_pha_dep	archaeal_patatin_like_pha_dep|cross_family_challenge|intracellular_mcl_pha_dep|Q9R9W3	cross_family_challenge	no_hit			0
archaeal_patatin_like_pha_dep	archaeal_patatin_like_pha_dep|cross_family_challenge|intracellular_phaZ_no_lipase_box|O87189	cross_family_challenge	no_hit			0
archaeal_patatin_like_pha_dep	archaeal_patatin_like_pha_dep|cross_family_challenge|intracellular_phaZ_no_lipase_box|Q0K7T2	cross_family_challenge	no_hit			0
archaeal_patatin_like_pha_dep	archaeal_patatin_like_pha_dep|cross_family_challenge|intracellular_phaZ_no_lipase_box|Q71KW6	cross_family_challenge	no_hit			0
archaeal_patatin_like_pha_dep	archaeal_patatin_like_pha_dep|cross_family_challenge|intracellular_phaZ_no_lipase_box|Q92TD3	cross_family_challenge	no_hit			0
archaeal_patatin_like_pha_dep	archaeal_patatin_like_pha_dep|cross_family_challenge|intracellular_phaZ_no_lipase_box|Q9WX79	cross_family_challenge	no_hit			0
extracellular_mcl_pha_dep	extracellular_mcl_pha_dep|cross_family_challenge|archaeal_patatin_like_pha_dep|AFK21580.1	cross_family_challenge	no_hit			0
extracellular_mcl_pha_dep	extracellular_mcl_pha_dep|cross_family_challenge|archaeal_patatin_like_pha_dep|AGN01047.1	cross_family_challenge	no_hit			0
extracellular_mcl_pha_dep	extracellular_mcl_pha_dep|cross_family_challenge|archaeal_patatin_like_pha_dep|CCQ32286.1	cross_family_challenge	no_hit			0
extracellular_mcl_pha_dep	extracellular_mcl_pha_dep|cross_family_challenge|archaeal_patatin_like_pha_dep|CCQ36014.1	cross_family_challenge	no_hit			0
extracellular_mcl_pha_dep	extracellular_mcl_pha_dep|cross_family_challenge|archaeal_patatin_like_pha_dep|ELY43313.1	cross_family_challenge	no_hit			0
extracellular_mcl_pha_dep	extracellular_mcl_pha_dep|cross_family_challenge|archaeal_patatin_like_pha_dep|KYH27761.1	cross_family_challenge	no_hit			0
extracellular_mcl_pha_dep	extracellular_mcl_pha_dep|cross_family_challenge|extracellular_scl_pha_dep_type_I|A6EXA3	cross_family_challenge	hit	83.7	0.810089	1
extracellular_mcl_pha_dep	extracellular_mcl_pha_dep|cross_family_challenge|extracellular_scl_pha_dep_type_I|BAA32541.1	cross_family_challenge	hit	77.4	0.741840	1
extracellular_mcl_pha_dep	extracellular_mcl_pha_dep|cross_family_challenge|extracellular_scl_pha_dep_type_I|BAF35850.1	cross_family_challenge	hit	187.0	0.818991	1
extracellular_mcl_pha_dep	extracellular_mcl_pha_dep|cross_family_challenge|extracellular_scl_pha_dep_type_I|O82950	cross_family_challenge	hit	77.4	0.741840	1
extracellular_mcl_pha_dep	extracellular_mcl_pha_dep|cross_family_challenge|extracellular_scl_pha_dep_type_I|P12625	cross_family_challenge	hit	378.5	0.946588	1
extracellular_mcl_pha_dep	extracellular_mcl_pha_dep|cross_family_challenge|extracellular_scl_pha_dep_type_I|ZP_01169502.1	cross_family_challenge	hit	183.7	0.830861	1
extracellular_mcl_pha_dep	extracellular_mcl_pha_dep|cross_family_challenge|extracellular_scl_pha_dep_type_II|AAB40611.1	cross_family_challenge	hit	110.3	0.893175	1
extracellular_mcl_pha_dep	extracellular_mcl_pha_dep|cross_family_challenge|extracellular_scl_pha_dep_type_II|BAA35137.1	cross_family_challenge	no_hit			0
extracellular_mcl_pha_dep	extracellular_mcl_pha_dep|cross_family_challenge|extracellular_scl_pha_dep_type_II|BAA92354.1	cross_family_challenge	no_hit			0
extracellular_mcl_pha_dep	extracellular_mcl_pha_dep|cross_family_challenge|extracellular_scl_pha_dep_type_II|O05527	cross_family_challenge	no_hit			0
extracellular_mcl_pha_dep	extracellular_mcl_pha_dep|cross_family_challenge|extracellular_scl_pha_dep_type_II|Q5YEW3	cross_family_challenge	hit	33.5	0.620178	3
